Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T15:38:49.640,    0, 194.96, 2400, 15.09, 262144.00
2026-05-22T15:38:49.640,    1, 197.42, 2400, 8.58, 262144.00
2026-05-22T15:38:49.640,    2, 192.58, 2400, 8.58, 262144.00
2026-05-22T15:38:49.640,    3, 41.90, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    4, 41.84, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    5, 41.89, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    6, 41.70, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    7, 43.24, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    8, 42.01, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,    9, 42.19, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   10, 42.08, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   11, 41.76, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   12, 40.22, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   13, 40.30, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   14, 40.33, 1550, 1.63, 262144.00
2026-05-22T15:38:49.640,   15, 40.34, 1550, 1.61, 262144.00
2026-05-22T15:38:50.640,    0, 195.78, 2400, 15.09, 262144.00
2026-05-22T15:38:50.640,    1, 197.28, 2400, 8.58, 262144.00
2026-05-22T15:38:50.640,    2, 191.93, 2400, 8.58, 262144.00
2026-05-22T15:38:50.640,    3, 41.79, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    4, 41.91, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    5, 41.89, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    6, 41.69, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    7, 42.92, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    8, 41.72, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,    9, 41.86, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   10, 41.79, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   11, 42.04, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   12, 40.37, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   13, 40.34, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   14, 40.28, 1550, 1.63, 262144.00
2026-05-22T15:38:50.640,   15, 40.34, 1550, 1.61, 262144.00
2026-05-22T15:38:51.640,    0, 194.46, 2400, 15.09, 262144.00
2026-05-22T15:38:51.640,    1, 197.28, 2400, 8.58, 262144.00
2026-05-22T15:38:51.640,    2, 191.63, 2400, 8.58, 262144.00
2026-05-22T15:38:51.640,    3, 41.94, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    4, 41.94, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    5, 41.79, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    6, 41.77, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    7, 43.21, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    8, 41.74, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,    9, 41.95, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   10, 41.94, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   11, 41.65, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   12, 40.14, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   13, 40.10, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   14, 40.10, 1550, 1.63, 262144.00
2026-05-22T15:38:51.640,   15, 40.22, 1550, 1.61, 262144.00
2026-05-22T15:38:52.640,    0, 193.68, 2400, 15.09, 262144.00
2026-05-22T15:38:52.640,    1, 196.37, 2400, 8.58, 262144.00
2026-05-22T15:38:52.640,    2, 190.94, 2400, 8.58, 262144.00
2026-05-22T15:38:52.640,    3, 42.12, 1550, 1.63, 262144.00
2026-05-22T15:38:52.640,    4, 42.03, 1550, 1.63, 262144.00
2026-05-22T15:38:52.640,    5, 42.11, 1550, 1.63, 262144.00
2026-05-22T15:38:52.640,    6, 42.02, 1550, 1.63, 262144.00
2026-05-22T15:38:52.640,    7, 42.90, 1550, 1.63, 262144.00
2026-05-22T15:38:52.640,    8, 41.88, 1550, 1.63, 262144.00
