Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T17:19:33.405,    0, 41.93, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    1, 42.11, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    2, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    3, 42.27, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    4, 42.06, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    5, 42.13, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    6, 42.08, 1550, 7.37, 262144.00
2026-05-22T17:19:33.405,    7, 43.90, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    8, 42.20, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,    9, 42.18, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   10, 41.96, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   11, 42.20, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   12, 40.38, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   13, 40.11, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   14, 41.10, 1550, 0.86, 262144.00
2026-05-22T17:19:33.405,   15, 40.38, 1550, 0.85, 262144.00
2026-05-22T17:19:34.405,    0, 42.03, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    1, 42.08, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    2, 41.88, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    3, 42.14, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    4, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    5, 42.16, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    6, 42.01, 1550, 7.37, 262144.00
2026-05-22T17:19:34.405,    7, 43.71, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    8, 41.97, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,    9, 42.17, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   10, 42.00, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   11, 42.00, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   12, 40.33, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   13, 40.38, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   14, 41.28, 1550, 0.86, 262144.00
2026-05-22T17:19:34.405,   15, 40.32, 1550, 0.85, 262144.00
2026-05-22T17:19:35.405,    0, 42.07, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    1, 42.02, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    2, 41.99, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    3, 42.18, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    4, 41.89, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    5, 42.12, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    6, 42.18, 1550, 7.37, 262144.00
2026-05-22T17:19:35.405,    7, 43.80, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    8, 41.89, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,    9, 42.12, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   10, 41.99, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   11, 42.17, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   12, 40.41, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   13, 40.35, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   14, 40.84, 1550, 0.86, 262144.00
2026-05-22T17:19:35.405,   15, 40.49, 1550, 0.85, 262144.00
2026-05-22T17:19:36.405,    0, 42.20, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    1, 42.11, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    2, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    3, 41.98, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    4, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    5, 42.15, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    6, 42.02, 1550, 7.37, 262144.00
2026-05-22T17:19:36.405,    7, 43.86, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    8, 41.98, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,    9, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   10, 42.24, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   11, 42.07, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   12, 40.28, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   13, 40.40, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   14, 41.05, 1550, 0.86, 262144.00
2026-05-22T17:19:36.405,   15, 40.38, 1550, 0.85, 262144.00
2026-05-22T17:19:37.405,    0, 42.23, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    1, 42.06, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    2, 42.20, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    3, 41.91, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    4, 42.06, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    5, 41.99, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    6, 41.93, 1550, 7.37, 262144.00
2026-05-22T17:19:37.405,    7, 43.69, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    8, 41.91, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,    9, 41.83, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,   10, 42.18, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,   11, 42.03, 1550, 0.86, 262144.00
2026-05-22T17:19:37.405,   12, 40.26, 1550, 0.86, 262144.00
