Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T15:39:30.875,    0, 198.30, 2400, 8.58, 262144.00
2026-05-22T15:39:30.875,    1, 197.24, 2400, 15.09, 262144.00
2026-05-22T15:39:30.875,    2, 193.45, 2400, 8.58, 262144.00
2026-05-22T15:39:30.875,    3, 41.76, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    4, 41.78, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    5, 41.68, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    6, 41.99, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    7, 43.29, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    8, 41.95, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,    9, 41.87, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,   10, 41.95, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,   11, 42.09, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,   12, 40.42, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,   13, 40.28, 1550, 1.63, 262144.00
2026-05-22T15:39:30.875,   14, 40.40, 1550, 1.63, 262144.00
2026-05-22T15:39:30.876,   15, 40.19, 1550, 1.61, 262144.00
2026-05-22T15:39:31.875,    0, 198.73, 2400, 8.58, 262144.00
2026-05-22T15:39:31.875,    1, 196.35, 2400, 15.09, 262144.00
2026-05-22T15:39:31.875,    2, 193.24, 2400, 8.58, 262144.00
2026-05-22T15:39:31.875,    3, 41.93, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    4, 42.02, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    5, 41.72, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    6, 41.83, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    7, 43.60, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    8, 41.88, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,    9, 41.83, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   10, 41.79, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   11, 42.06, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   12, 40.35, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   13, 40.26, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   14, 40.55, 1550, 1.63, 262144.00
2026-05-22T15:39:31.875,   15, 40.29, 1550, 1.61, 262144.00
2026-05-22T15:39:32.875,    0, 197.95, 2400, 8.58, 262144.00
2026-05-22T15:39:32.875,    1, 196.74, 2400, 15.09, 262144.00
