Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T17:20:13.427,    0, 41.96, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    1, 42.00, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    2, 41.89, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    3, 42.17, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    4, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    5, 42.04, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    6, 41.97, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    7, 43.91, 1550, 7.37, 262144.00
2026-05-22T17:20:13.427,    8, 42.28, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,    9, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   10, 41.96, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   11, 41.97, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   12, 40.35, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   13, 40.08, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   14, 41.36, 1550, 0.86, 262144.00
2026-05-22T17:20:13.427,   15, 40.33, 1550, 0.85, 262144.00
2026-05-22T17:20:14.427,    0, 42.05, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    1, 41.97, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    2, 42.08, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    3, 41.92, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    4, 42.23, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    5, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    6, 42.09, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    7, 43.75, 1550, 7.37, 262144.00
2026-05-22T17:20:14.427,    8, 42.19, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,    9, 42.11, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   10, 41.90, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   11, 41.88, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   12, 40.34, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   13, 40.38, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   14, 41.06, 1550, 0.86, 262144.00
2026-05-22T17:20:14.427,   15, 40.30, 1550, 0.85, 262144.00
