Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T15:40:52.429,    0, 195.77, 2400, 8.58, 262144.00
2026-05-22T15:40:52.429,    1, 195.83, 2400, 8.58, 262144.00
2026-05-22T15:40:52.429,    2, 191.40, 2400, 8.58, 262144.00
2026-05-22T15:40:52.429,    3, 184.17, 2400, 15.09, 262144.00
2026-05-22T15:40:52.429,    4, 41.96, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,    5, 42.22, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,    6, 41.89, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,    7, 43.45, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,    8, 42.02, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,    9, 42.09, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   10, 42.05, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   11, 41.81, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   12, 40.07, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   13, 40.40, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   14, 40.43, 1550, 1.63, 262144.00
2026-05-22T15:40:52.429,   15, 40.39, 1550, 1.61, 262144.00
2026-05-22T15:40:53.429,    0, 196.79, 2400, 8.58, 262144.00
2026-05-22T15:40:53.429,    1, 196.67, 2400, 8.58, 262144.00
2026-05-22T15:40:53.429,    2, 193.05, 2400, 8.58, 262144.00
2026-05-22T15:40:53.429,    3, 185.27, 2400, 15.09, 262144.00
2026-05-22T15:40:53.429,    4, 41.84, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,    5, 41.88, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,    6, 41.89, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,    7, 43.35, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,    8, 42.20, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,    9, 42.06, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   10, 42.09, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   11, 42.01, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   12, 40.23, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   13, 40.43, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   14, 40.35, 1550, 1.63, 262144.00
2026-05-22T15:40:53.429,   15, 40.27, 1550, 1.61, 262144.00
2026-05-22T15:40:54.429,    0, 196.15, 2400, 8.58, 262144.00
2026-05-22T15:40:54.429,    1, 195.58, 2400, 8.58, 262144.00
2026-05-22T15:40:54.429,    2, 192.13, 2400, 8.58, 262144.00
2026-05-22T15:40:54.429,    3, 182.68, 2400, 15.09, 262144.00
2026-05-22T15:40:54.429,    4, 41.90, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,    5, 41.88, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,    6, 41.72, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,    7, 43.17, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,    8, 41.88, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,    9, 41.82, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   10, 42.06, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   11, 41.84, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   12, 40.39, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   13, 40.30, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   14, 40.45, 1550, 1.63, 262144.00
2026-05-22T15:40:54.429,   15, 40.35, 1550, 1.61, 262144.00
2026-05-22T15:40:55.429,    0, 194.01, 2400, 8.58, 262144.00
2026-05-22T15:40:55.429,    1, 194.42, 2400, 8.58, 262144.00
2026-05-22T15:40:55.429,    2, 189.96, 2400, 8.58, 262144.00
2026-05-22T15:40:55.429,    3, 182.71, 2400, 15.09, 262144.00
2026-05-22T15:40:55.429,    4, 41.71, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,    5, 41.69, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,    6, 41.74, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,    7, 43.53, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,    8, 42.04, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,    9, 41.95, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   10, 41.84, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   11, 41.80, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   12, 40.11, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   13, 40.21, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   14, 40.38, 1550, 1.63, 262144.00
2026-05-22T15:40:55.429,   15, 40.26, 1550, 1.61, 262144.00
2026-05-22T15:40:56.429,    0, 195.71, 2400, 8.58, 262144.00
2026-05-22T15:40:56.429,    1, 195.72, 2400, 8.58, 262144.00
2026-05-22T15:40:56.429,    2, 191.02, 2400, 8.58, 262144.00
2026-05-22T15:40:56.429,    3, 182.84, 2400, 15.09, 262144.00
2026-05-22T15:40:56.429,    4, 41.90, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,    5, 42.19, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,    6, 41.72, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,    7, 43.42, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,    8, 41.93, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,    9, 41.86, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   10, 41.91, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   11, 41.70, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   12, 40.15, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   13, 40.39, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   14, 40.51, 1550, 1.63, 262144.00
2026-05-22T15:40:56.429,   15, 40.27, 1550, 1.61, 262144.00
2026-05-22T15:40:57.429,    0, 196.49, 2400, 8.58, 262144.00
2026-05-22T15:40:57.429,    1, 197.61, 2400, 8.58, 262144.00
2026-05-22T15:40:57.429,    2, 192.78, 2400, 8.58, 262144.00
2026-05-22T15:40:57.429,    3, 184.40, 2400, 15.09, 262144.00
2026-05-22T15:40:57.429,    4, 41.92, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,    5, 41.83, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,    6, 42.06, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,    7, 43.63, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,    8, 42.21, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,    9, 41.87, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   10, 41.70, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   11, 41.86, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   12, 40.30, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   13, 40.26, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   14, 40.29, 1550, 1.63, 262144.00
2026-05-22T15:40:57.429,   15, 40.32, 1550, 1.61, 262144.00
2026-05-22T15:40:58.429,    0, 198.49, 2400, 8.58, 262144.00
2026-05-22T15:40:58.429,    1, 198.04, 2400, 8.58, 262144.00
2026-05-22T15:40:58.429,    2, 194.54, 2400, 8.58, 262144.00
2026-05-22T15:40:58.429,    3, 183.47, 2400, 15.09, 262144.00
2026-05-22T15:40:58.429,    4, 41.91, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,    5, 41.91, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,    6, 41.83, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,    7, 43.72, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,    8, 42.24, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,    9, 41.99, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   10, 41.94, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   11, 41.91, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   12, 40.28, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   13, 40.32, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   14, 40.12, 1550, 1.63, 262144.00
2026-05-22T15:40:58.429,   15, 40.34, 1550, 1.61, 262144.00
2026-05-22T15:40:59.429,    0, 197.14, 2400, 8.58, 262144.00
2026-05-22T15:40:59.429,    1, 197.17, 2400, 8.58, 262144.00
2026-05-22T15:40:59.429,    2, 194.42, 2400, 8.58, 262144.00
2026-05-22T15:40:59.429,    3, 182.99, 2400, 15.09, 262144.00
2026-05-22T15:40:59.429,    4, 41.81, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,    5, 41.85, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,    6, 41.88, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,    7, 43.43, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,    8, 41.89, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,    9, 41.96, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,   10, 41.87, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,   11, 41.87, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,   12, 40.36, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,   13, 40.42, 1550, 1.63, 262144.00
2026-05-22T15:40:59.429,   14, 40.56, 1550, 1.63, 262144.00
