Timestamp, DeviceId, GPU Power (W), GPU Frequency (MHz), GPU Memory Utilization (%), GPU Energy Consumed (J)
2026-05-22T17:18:53.021,    0, 42.11, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    1, 42.08, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    2, 42.06, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    3, 41.97, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    4, 41.89, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    5, 41.86, 1550, 7.37, 262144.00
2026-05-22T17:18:53.021,    6, 41.98, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    7, 43.07, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    8, 42.20, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,    9, 41.93, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   10, 42.21, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   11, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   12, 40.26, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   13, 40.25, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   14, 40.80, 1550, 0.86, 262144.00
2026-05-22T17:18:53.021,   15, 40.27, 1550, 0.85, 262144.00
2026-05-22T17:18:54.021,    0, 42.13, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    1, 42.04, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    2, 42.04, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    3, 42.04, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    4, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    5, 41.87, 1550, 7.37, 262144.00
2026-05-22T17:18:54.021,    6, 41.90, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    7, 43.02, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    8, 42.09, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,    9, 41.89, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   10, 41.90, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   11, 41.96, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   12, 40.26, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   13, 40.19, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   14, 40.89, 1550, 0.86, 262144.00
2026-05-22T17:18:54.021,   15, 40.42, 1550, 0.85, 262144.00
2026-05-22T17:18:55.021,    0, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    1, 41.95, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    2, 42.05, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    3, 41.74, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    4, 42.12, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    5, 41.90, 1550, 7.37, 262144.00
2026-05-22T17:18:55.021,    6, 41.96, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    7, 43.06, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    8, 42.16, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,    9, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   10, 42.10, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   11, 41.98, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   12, 40.28, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   13, 40.22, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   14, 40.99, 1550, 0.86, 262144.00
2026-05-22T17:18:55.021,   15, 40.30, 1550, 0.85, 262144.00
2026-05-22T17:18:56.021,    0, 42.01, 1550, 0.86, 262144.00
2026-05-22T17:18:56.021,    1, 42.04, 1550, 0.86, 262144.00
